"insee","11","12","13","14","15","21","22","23","24","31","32","51","xx"
"14056",10.31,6.14,0,0.69,0.1,102.11,0.52,41.49,0.02,2.58,15.64,0.37,0
"14057",60.26,44.21,1.63,3.12,1.33,661.42,1.72,37.8,1.09,151.45,50.01,6.72,0
"14058",10.32,16.37,0,3.28,0,235.26,3.98,292.51,0.84,41.81,145.56,1.24,0
"14059",62.68,17.28,0.11,13.74,7.85,23.22,0,65.6,0,68.68,46.19,0.47,0
"14060",85.95,36.98,0,4.65,8.15,289.47,0,18.88,0.24,26.05,44,26.8,0
"14061",55.43,35.15,0.13,8.65,2.02,291.18,4.61,342.22,0.35,61.77,100.29,5.69,0
"14062",19.31,22.73,0,3.65,0.84,497.58,0.01,38.79,0.73,61.45,28.68,0.55,0
"14063",17.73,15.8,0,1.05,0,151.68,0,300.01,0.52,35.75,74.93,4.63,0
"14064",14.91,28.05,0,1.78,0,604.34,0.08,29.93,2.95,233.3,22.63,2.62,0
"14065",25.39,39.68,0.46,15.56,0.17,748.85,6.9,552.02,0.53,4.99,197.51,5.93,0
"14066",106.26,38.45,0,7.06,9.14,553.62,0,34.54,0.4,1.46,21.85,1.46,0
"14068",166.18,39.45,0,11.64,17.47,720.98,0,59.63,0.1,42.65,64.01,2.41,0
"14069",76.04,25.56,0,9.32,2.31,39.88,0.4,226.81,0.31,11.47,95.24,4.06,0
"14070",15.53,15.74,0,4.18,0.66,214.31,0,499.92,2.9,58.51,158.72,6.04,0
"14073",10.14,8.55,0,0.51,0,175.43,13.56,118.73,0.13,6.65,60.22,1.49,0
"14074",19,15.56,4.82,0.94,0.93,550.78,0.04,27.48,0.01,35.44,20.67,2.05,0
"14075",10.07,5.69,0,1.95,0,41.79,0.39,59.56,0.29,1.43,35.92,0.46,0
"14076",214.92,81.43,0,5.81,10.35,212.21,0,45.1,0.36,58.63,43.49,43.09,0
"14077",60.38,27.93,0.11,12.01,3.07,71.87,0,438.19,0.41,240.41,203.69,8.73,0
"14078",21.74,16.34,0,0.72,0.7,214.59,0,368.75,0.12,29.25,66.45,1.92,0
"14079",121.43,30.79,0,11.48,6.87,40.27,1.3,319.87,1.95,9.1,133.79,8.11,0
"14080",7.16,10.77,0,1.82,0,55.86,4.08,172.83,0,81.92,51.23,5.55,0
"14081",18.32,13.25,0,3.71,0.32,114.93,3.45,286.65,3.44,4.28,80.46,2.58,0
"14082",8.98,5.05,0,0.87,0,13.92,0,131.55,0.57,9.72,33.52,0.5,0
"14083",37.14,27.78,0,9.3,3.08,326.61,0.3,578.89,0.82,19.22,230.25,2.31,0
"14084",21.58,18.78,0,1.48,0.04,383.09,0.73,212.14,0.32,129.44,92.47,4.74,0
"14085",73.02,44.04,0,21.74,3.18,220.79,5.35,1198.51,0.46,51.19,454.43,14.33,0
"14086",36.01,25.39,0,9.81,0.99,24.73,0.26,451.34,0.03,1.63,76.4,40.75,0
"14087",5.87,15.07,0,1.48,0.01,209.99,0.52,264.29,5,145.37,71.54,2.55,0
"14088",22.94,33.38,0,1.8,0.91,654.07,28.56,121.24,4.1,26.68,42.27,2.61,0
"14089",14.1,6.77,0,1.15,0.86,195.97,0,51.38,2.73,10.83,24.5,1.48,0
"14090",30.29,41.17,0,2.67,4.31,433.9,0.51,197.9,0.79,617.25,54.17,6.04,0
"14091",18.97,13.67,0,5.01,0.23,68.02,2.36,364.23,0.11,25.39,124.56,1.42,0
