"insee_2017","bati","parc","cons","mais","app","pro","div","loc","dens"
"76529",2199,41532,36899,22,0,0,0,22,5.96222
"76530",1081,19788,19788,8,0,0,0,8,4.04285
"76531",3581,46215,42078,18,0,0,0,18,4.27779
"76532",6339,73923,64661,45,0,1,0,46,7.11403
"76533",16699,137225,137225,14,0,11,3,28,2.04044
"76534",2259,31065,20236,12,12,0,0,24,11.86
"76535",5032,119119,69196,22,0,2,0,24,3.46839
"76536",4249,31640,31640,38,3,0,0,41,12.9582
"76537",850,15852,15852,7,0,1,0,8,5.0468
"76538",1492,52680,45649,13,0,0,0,13,2.84783
"76540",290112,653722,650749,225,5958,372,20,6575,101.037
"76541",14620,110581,110581,75,2,11,0,88,7.95799
"76542",1812,26068,26068,12,0,0,0,12,4.60334
"76543",5398,85773,78124,36,3,0,0,39,4.99206
"76544",1497,30143,28160,16,0,0,0,16,5.68186
"76545",29345,284982,239969,108,57,20,2,187,7.79269
"76546",1936,26703,26703,17,0,0,0,17,6.36641
"76547",16479,223258,163618,115,0,6,0,121,7.39526
"76548",7598,46607,46607,58,1,2,0,61,13.0881
"76549",730,16890,16890,7,0,1,0,8,4.73653
"76550",7533,159690,63959,47,0,7,0,54,8.4429
"76551",3942,53606,53606,20,0,1,1,22,4.10403
"76552",10930,45342,45342,51,166,9,0,226,49.8433
"76553",1341,28329,21119,12,0,0,0,12,5.68215
"76554",1000,19380,17040,9,0,0,0,9,5.28181
"76555",4674,61566,59440,34,0,0,0,34,5.72007
"76556",5376,145571,92477,48,4,0,0,52,5.62305
"76557",6376,161610,103035,48,1,6,0,55,5.33802
"76558",2631,38234,37603,27,0,1,0,28,7.4462
"76559",3184,48252,44968,30,0,0,0,30,6.67141
"76560",8166,63368,59713,58,0,3,0,61,10.2156
"76561",48687,282122,217563,94,227,25,3,349,16.0413
"76562",6440,106268,63855,42,0,9,0,51,7.98687
"76563",10742,126908,123727,62,0,1,0,63,5.09185
"76564",482,5732,5732,4,0,0,0,4,6.97847
"76565",15078,226862,121286,43,21,15,0,79,6.51351
"76566",1589,31479,31479,12,12,0,0,24,7.62412
"76567",1720,43194,33405,6,0,0,0,6,1.79613
"76568",6568,84465,68758,53,0,2,0,55,7.99908
"76569",1697,44667,29808,8,0,0,0,8,2.68383
"76570",6659,45629,45629,11,0,1,0,12,2.62993
"76571",4969,77011,75872,32,2,0,0,34,4.48122
"76573",1179,32228,22928,8,0,0,0,8,3.48926
"76574",9235,158696,128657,80,0,1,0,81,6.2958
"76575",173762,845101,843005,594,1332,72,7,2005,23.784
"76576",2315,40504,34704,10,0,1,0,11,3.16966
"76577",5465,82216,71336,48,0,1,0,49,6.86895
"76578",444,8902,8902,2,0,0,0,2,2.2466
"76580",6565,114642,79391,42,0,1,0,43,5.41626
"76581",3221,52516,43645,19,0,0,0,19,4.35331
"76582",2581,53031,33956,17,1,1,0,19,5.5954
"76583",4967,66223,62122,43,0,0,0,43,6.92181
"76584",556,4608,4609,5,0,0,0,5,10.8495
"76585",5304,85472,69395,39,0,1,0,40,5.76411
"76586",3299,80852,38999,22,0,0,0,22,5.64113
"76587",3262,55998,55998,24,0,0,0,24,4.28584
"76588",1872,33487,33487,21,0,1,0,22,6.5697
"76589",1424,21219,21219,12,0,0,0,12,5.65535
"76590",2337,31089,30037,18,0,0,0,18,5.99259
"76591",21996,233418,159426,93,5,29,0,127,7.96607
"76592",70512,185321,178183,15,0,4,0,19,1.06632
"76593",10038,102081,91229,26,0,8,0,34,3.72687
"76594",31451,315535,202570,48,0,54,1,103,5.08466
"76595",9154,162492,133253,60,0,7,1,68,5.10306
"76596",7448,62555,62555,63,0,0,0,63,10.0712
"76597",5778,80277,70277,22,10,4,0,36,5.12261
"76598",6716,76564,58375,30,0,2,0,32,5.48183
"76599",16451,90475,90475,108,59,3,0,170,18.7898
"76600",38761,565684,283845,59,14,41,0,114,4.01628
"76602",9804,211337,122947,47,0,5,1,53,4.31082
"76603",3419,57096,57096,21,0,0,0,21,3.67802
"76604",1061,44354,26007,11,0,0,0,11,4.22965
"76605",3993,56693,48579,28,0,2,0,30,6.17551
"76606",910,8831,8831,7,0,0,0,7,7.92637
"76608",21400,295146,199546,153,0,1,1,155,7.76762
"76609",4692,63558,49162,29,0,2,0,31,6.3057
"76610",15875,158257,133213,40,5,38,0,83,6.23061
"76611",2480,36863,36863,16,0,0,0,16,4.34035
"76612",1456,51845,35363,16,0,1,0,17,4.80724
"76613",3358,50209,47797,27,2,0,0,29,6.06728
"76614",9330,177784,90663,43,1,2,0,46,5.07373
"76615",1194,35689,18887,11,0,0,0,11,5.82415
"76616",7887,85775,72035,46,0,3,0,49,6.80228
"76617",7390,86468,52980,27,0,5,1,33,6.22881
"76618",94503,984182,885365,727,37,35,0,799,9.02453
"76619",2374,73444,40162,12,0,0,0,12,2.98791
"76620",3882,101533,45629,20,0,1,0,21,4.60236
"76621",9561,162012,134600,69,0,5,0,74,5.49779
"76622",1748,30080,30080,9,0,1,0,10,3.3245
"76623",293,3581,3581,2,0,0,0,2,5.58472
"76624",19120,138675,133019,112,0,13,0,125,9.39715
"76626",2003,41560,33314,17,0,0,0,17,5.10301
"76627",12578,264610,147009,90,0,3,0,93,6.32613
"76628",5534,55173,55173,42,0,1,0,43,7.79369
"76629",3075,49666,49666,27,0,0,0,27,5.43627
"76630",1365,30958,27108,11,0,0,0,11,4.05782
"76631",7551,69062,69062,68,0,1,0,69,9.991
"76632",3946,77967,56030,15,0,5,0,20,3.56949
"76634",7635,78803,70249,40,0,0,1,41,5.8364
"76636",16281,150506,136267,112,14,3,0,129,9.46669
"76637",3156,36356,36356,43,1,2,0,46,12.6527
"76638",6368,87763,58361,46,0,4,0,50,8.56736
"76640",44444,278031,211701,175,41,17,0,233,11.0061
"76641",258,3411,3410,4,0,0,0,4,11.7286
"76642",743,9038,9038,10,0,0,0,10,11.0649
"76644",4435,37105,37105,35,3,1,0,39,10.5107
"76645",1167,21458,21458,10,0,0,0,10,4.66023
"76646",3196,37435,30632,23,0,1,0,24,7.83499
"76647",15442,134086,125712,71,106,13,1,191,15.1934
"76648",19529,157471,124096,36,17,14,0,67,5.39905
"76649",5760,93478,80017,49,3,1,0,53,6.62362
"76650",4537,88791,83539,27,0,0,0,27,3.232
"76651",524,5142,5142,4,0,0,0,4,7.77921
"76652",5826,89203,70994,47,0,1,1,49,6.90197
"76653",2547,42132,42132,19,4,0,0,23,5.459
"76654",5414,80359,80359,43,0,0,0,43,5.35098
"76655",12736,85401,82924,66,209,10,0,285,34.3688
"76656",4435,45771,34093,51,7,1,0,59,17.3056
"76657",129329,456303,437788,72,0,16,0,88,2.01011
"76658",4622,54436,54436,35,0,0,0,35,6.42958
"76660",48459,177779,175547,28,12,20,1,61,3.47484
"76662",939,18380,18381,6,0,0,0,6,3.26433
"76663",4675,66809,45745,36,9,2,0,47,10.2743
