"id","Nom","pop","type","c","p","e","s"
"61154","Eperrais",0,"c",,,,
"61157","Exmes",0,"c",,,,
"61161","Fel",0,"c",,,,
"61177","Frenes",0,"c",,,,
"61223","Larchamp",0,"c",,,,
"61249","Marcei",0,"c",,,,
"61315","Ommeel",0,"c",,,,
"61318","Origny-le-Butin",0,"c",,,,
"61325","La Perriere",0,"c",,,,
"61377","Saint-Cornier-des-Landes",0,"c",,,,
"61410","Saint-Jean-des-Bois",0,"c",,,,
"61417","Saint-Loyer-des-Champs",0,"c",,,,
"61437","Saint-Ouen-de-la-Cour",0,"c",,,,
"61449","Saint-Pierre-la-Riviere",0,"c",,,,
"61471","Serigny",0,"c",,,,
"61477","Survie",0,"c",,,,
"61496","Urou-et-Crennes",0,"c",,,,
"61504","Villebadin",0,"c",,,,
"61511","Vrigny",0,"c",,,,
"61513","Yvrandes",0,"c",,,,
"76044","Auzouville-Auberbosc",0,"c",,,,
"76078","Bennetot",0,"c",,,,
"76080","Bermonville",0,"c",,,,
"76127","Bosc-Roger-sur-Buchy",0,"c",,,,
"76248","Estouteville-Ecalles",0,"c",,,,
"76525","Ricarville",0,"c",,,,
"76607","Sainte-Marguerite-sur-Fauville",0,"c",,,,
"76639","Saint-Pierre-Lavis",0,"c",,,,
"76428","Le Mesnil-Durdent",18,"c",,,"760000008",
"61059","Bresolettes",22,"c","61491",,,
"50587","Taillepied",26,"c",,,"501000001",
"50571","Sebeville",27,"c",,,"200042729",
"14395","Malloue",28,"c","14061",,,
"76512","Puisenval",28,"c",,,"247600604",
"61225","Ligneres",29,"c",,,"610000008",
"14013","Angoville",31,"c",,,"140000007",
"61272","Le Menil-Vicomte",34,"c",,,"610000008",
"76274","La Fontelaye",35,"c",,,"760000006",
"14518","Preaux-Saint-Sebastien",36,"c","14371",,,
"50353","Le Mont-Saint-Michel",36,"c",,,"501000005",
"27143","Champignolles",38,"c",,,"270000005",
"50430","Reigneville-Bocage",38,"c",,,"501000001",
"50636","Vierville",38,"c",,,"200042729",
"50374","Neuville-en-Beaumont",39,"c",,,"501000001",
"61085","Le Champ-de-la-Pierre",43,"c",,,"246100655",
"14531","Rapilly",47,"c",,,"241400514",
"50051","Beuzeville-au-Plain",47,"c","50523",,,
"27686","Vieux-Port",48,"c",,,"270000001",
"61088","Champ-Haut",48,"c",,,"610000008",
"61217","La Lande-de-Louge",48,"c",,,"610000009",
"14029","Les Autels-Saint-Bazile",49,"c","14371",,,
"14459","Les Moutiers-Hubert",49,"c","14371",,,
"27399","Mercey",49,"c",,,"270000007",
"14448","Montreuil-en-Auge",50,"c",,,"241400761",
"61104","La Chaux",50,"c",,,"246100655",
"50010","Angoville-au-Plain",52,"c","50099",,,
"61381","Saint-Denis-sur-Huisne",53,"c",,,"200036069",
"14300","Gerrots",54,"c",,,"241400761",
"14510","La Pommeraye",54,"c",,,"140000007",
"27556","Saint-Laurent-du-Tencement",55,"c",,,"270000004",
"50179","Ferrieres",55,"c","50591",,,
"50508","Sainte-Marie-du-Bois",55,"c","50591",,,
"61127","La Courbe",55,"c","61153",,,
"61178","La Fresnaie-Fayel",55,"c",,,"610000008",
"61273","Menil-Vin",55,"c",,,"246100390",
"76074","La Belliere",55,"c",,,"760000003",
"76393","Longmesnil",55,"c",,,"760000003",
"61398","Saint-Germain-le-Vieux",56,"c",,,"200035103",
"14285","Le Fournet",57,"c",,,"241400761",
"27551","Saint-Jean-de-la-Lequeraye",57,"c",,,"270000003",
"61245","Maison-Maugis",57,"c","61050",,,
"61289","Mont-Ormel",57,"c",,,"610000009",
"14496","Perigny",58,"c",,,"140000006",
"27434","Noards",58,"c",,,"270000003",
"27042","Barville",59,"c",,,"270000003",
"61018","Avernes-Saint-Gourgon",60,"c",,,"610000008",
"61264","Menil-Froger",60,"c",,,"610000008",
"50221","Grimesnil",61,"c",,,"500000003",
"14023","Asnieres-en-Bessin",62,"c",,,"140000003",
"50070","Boutteville",62,"c",,,"200042729",
"50156","Crosville-sur-Douve",62,"c",,,"501000001",
"76168","Les Cent-Acres",62,"c",,,"760000006",
"14224","Deux-Jumeaux",63,"c",,,"140000003",
"14381","Louvagny",63,"c",,,"241400514",
"27610","Saint-Victor-sur-Avre",63,"c",,,"270000005",
"14031","Les Authieux-Papion",64,"c","14431",,,
"61313","Notre-Dame-du-Rocher",64,"c","61007",,,
"61368","Saint-Aubin-des-Grois",64,"c","61309",,,
"14511","Pont-Bellanger",65,"c",,,"140000006",
"50246","Hiesville",65,"c",,,"200042729",
"61113","Comblot",65,"c",,,"200036069",
"27402","Le Mesnil-Hardray",66,"c",,,"242700276",
